Geo ref order,Category,ParentRegion,Name,Area Code,Median income,Mean income,Income,Rent,Annual rent,Rent as a share of income,Days through the year,Day of the year
0,Region,,England,,29919,,29919,850,10200,0.34,124.52,05/05/2024
147,Region,Regions,East,E12000006,30798,37266,30798,925,11100,0.36,131.64,05/12/2024
72,Region,Regions,East Midlands,E12000004,27782,31865,27782,700,8400,0.3,110.43,4/21/2024
198,Region,Regions,London,E12000007,36184,47301,36184,1625,19500,0.54,196.84,7/16/2024
1,Region,Regions,North East,E12000001,26959,30133,26959,550,6600,0.24,89.42,3/31/2024
15,Region,Regions,North West,E12000002,28429,32346,28429,675,8100,0.28,104.07,4/15/2024
234,Region,Regions,South East,E12000008,31800,38526,31800,1050,12600,0.4,144.72,5/25/2024
305,Region,Regions,South West,E12000009,28748,32790,28748,850,10200,0.35,129.59,05/10/2024
112,Region,Regions,West Midlands,E12000005,28352,33100,28352,750,9000,0.32,115.94,4/26/2024
54,Region,Regions,Yorkshire and The Humber,E12000003,27648,31624,27648,650,7800,0.28,103.04,4/14/2024
193,County,East,Babergh,E07000200,27306,33076,27306,825,9900,0.36,132.42,5/13/2024
161,County,East,Basildon,E07000066,31025,38131,31025,1095,13140,0.42,154.69,06/04/2024
148,County,East,Bedford,E06000055,31021,34199,31021,850,10200,0.33,120.1,05/01/2024
162,County,East,Braintree,E07000067,32477,37249,32477,975,11700,0.36,131.58,05/12/2024
185,County,East,Breckland,E07000143,27082,28395,27082,775,9300,0.34,125.43,05/06/2024
163,County,East,Brentwood,E07000068,41512,63046,41512,1250,15000,0.36,131.98,05/12/2024
186,County,East,Broadland,E07000144,29946,33128,29946,800,9600,0.32,117.09,4/28/2024
174,County,East,Broxbourne,E07000095,30995,41274,30995,1150,13800,0.45,162.62,06/12/2024
155,County,East,Cambridge,E07000008,34436,42169,34436,1300,15600,0.45,165.46,6/15/2024
154,County,East,Cambridgeshire,E10000003,32858,37550,32858,995,11940,0.36,132.73,5/13/2024
164,County,East,Castle Point,E07000069,30120,37921,30120,1050,12600,0.42,152.79,06/02/2024
149,County,East,Central Bedfordshire,E06000056,33690,38609,33690,945,11340,0.34,122.94,05/03/2024
