Year,Dwellings,Population
1971,294680,46411700
1972,272520,46571900
1973,249710,46686200
1974,229360,46682700
1975,261460,46674400
1976,263430,46659900
1977,261600,46639800
1978,241360,46638200
1979,209460,46698100
1980,204370,46787200
1981,170600,46820800
1982,151630,46777300
1983,173720,46813700
1984,182080,46912400
1985,170040,47057400
1986,179140,47187600
1987,189300,47300400
1988,202930,47412300
1989,179360,47552700
1990,163900,47699100
1991,154600,47875000
1992,143830,47998000
1993,147840,48102300
1994,154640,48228800
1995,157140,48383500
1996,149090,48519100
1997,149490,48664800
1998,142650,48820600
1999,141010,49032900
2000,135100,49233300
2001,129510,49449700
2002,136800,49679300
2003,144060,49925500
2004,154070,50194600
2005,159450,50606000
2006,160850,50965200
2007,176650,51381100
2008,148010,51815900
2009,124970,52196400
2010,106720,52642500
2011,114020,53107200
2012,115590,53506800
2013,109440,53918700
2014,117810,54370300
2015,142470,54808700
2016,141870,55289000
2017,162480,55619500
2018,165490,55924500
2019,177880,56230100
2020,146650,56326000
2021,174950,56554900
2022,178010,57106400
